ticker    ,sector                ,region                     ,revenue_growth_score,est_revision_1m_score,est_revision_3m_score,revenue_beat_score,revenue_momentum_score,momentum_grade
BABA      ,Consumer Discretionary,Asia / Pacific             ,100.0               ,49.797000000000004   ,49.54366666666667    ,0                 ,57.4                  ,C
MU        ,Information Technology,United States and Canada   ,100.0               ,53.807               ,53.154               ,0                 ,59.1                  ,C
HD        ,Consumer Discretionary,United States and Canada   ,100.0               ,49.980999999999995   ,49.88766666666667    ,0                 ,57.5                  ,C
AMD       ,Information Technology,United States and Canada   ,100.0               ,50.009499999999996   ,50.03066666666667    ,0                 ,57.5                  ,C
PG        ,Consumer Staples      ,United States and Canada   ,100.0               ,49.973               ,49.998666666666665   ,0                 ,57.5                  ,C
GE        ,Industrials           ,United States and Canada   ,100.0               ,50.0115              ,50.19166666666667    ,0                 ,57.5                  ,C
CVX       ,Energy                ,United States and Canada   ,0.0                 ,49.957499999999996   ,49.95533333333333    ,0                 ,22.5                  ,F
UNH       ,Health Care           ,United States and Canada   ,100.0               ,50.0005              ,50.01866666666667    ,0                 ,57.5                  ,C
KO        ,Consumer Staples      ,United States and Canada   ,100.0               ,50.001               ,50.013333333333335   ,0                 ,57.5                  ,C
CAT       ,Industrials           ,United States and Canada   ,0.0                 ,50.007000000000005   ,50.159666666666666   ,0                 ,22.5                  ,F
CSCO      ,Information Technology,United States and Canada   ,100.0               ,50.002               ,50.06433333333333    ,0                 ,57.5                  ,C
IBM       ,Information Technology,United States and Canada   ,100.0               ,50.0005              ,50.06233333333333    ,0                 ,57.5                  ,C
MRK       ,Health Care           ,United States and Canada   ,50.735569131031035  ,49.9915              ,50.03066666666667    ,0                 ,40.3                  ,D
LRCX      ,Information Technology,United States and Canada   ,100.0               ,50.036500000000004   ,50.26566666666666    ,0                 ,57.6                  ,C
PM        ,Consumer Staples      ,United States and Canada   ,100.0               ,49.992000000000004   ,50.009               ,0                 ,57.5                  ,C
RTX       ,Industrials           ,United States and Canada   ,100.0               ,49.9845              ,50.132333333333335   ,0                 ,57.5                  ,C
AMAT      ,Information Technology,United States and Canada   ,33.33333333333333   ,50.0575              ,50.031666666666666   ,0                 ,34.2                  ,F
INTC      ,Information Technology,United States and Canada   ,100.0               ,50.0                 ,55.886333333333326   ,100               ,78.7                  ,B
TMO       ,Health Care           ,United States and Canada   ,100.0               ,50.0                 ,50.034               ,0                 ,57.5                  ,C
MCD       ,Consumer Discretionary,United States and Canada   ,100.0               ,50.0015              ,49.95266666666666    ,0                 ,57.5                  ,C
CRM       ,Information Technology,United States and Canada   ,100.0               ,50.0005              ,50.11633333333333    ,0                 ,57.5                  ,C
ABT       ,Health Care           ,United States and Canada   ,100.0               ,50.01649999999999    ,50.017999999999994   ,0                 ,57.5                  ,C
TMUS      ,Communication Services,United States and Canada   ,100.0               ,49.753               ,49.86533333333333    ,0                 ,57.4                  ,C
SHOP      ,Information Technology,United States and Canada   ,100.0               ,50.007000000000005   ,50.01633333333333    ,0                 ,57.5                  ,C
LIN       ,Materials             ,Europe                     ,100.0               ,50.0                 ,49.99466666666667    ,0                 ,57.5                  ,C
APP       ,Information Technology,United States and Canada   ,100.0               ,50.0                 ,50.026666666666664   ,0                 ,57.5                  ,C
KLAC      ,Information Technology,United States and Canada   ,100.0               ,50.03300000000001    ,50.086333333333336   ,0                 ,57.5                  ,C
PEP       ,Consumer Staples      ,United States and Canada   ,100.0               ,49.999500000000005   ,50.00233333333334    ,0                 ,57.5                  ,C
DIS       ,Communication Services,United States and Canada   ,33.33333333333333   ,49.999               ,50.068               ,0                 ,34.2                  ,F
ISRG      ,Health Care           ,United States and Canada   ,100.0               ,50.0105              ,50.205999999999996   ,0                 ,57.5                  ,C
APH       ,Information Technology,United States and Canada   ,100.0               ,50.007000000000005   ,50.288               ,0                 ,57.6                  ,C
BA        ,Industrials           ,United States and Canada   ,100.0               ,50.0                 ,50.0                 ,0                 ,57.5                  ,C
AMGN      ,Health Care           ,United States and Canada   ,100.0               ,50.00449999999999    ,50.02966666666667    ,0                 ,57.5                  ,C
ACN       ,Information Technology,Europe                     ,100.0               ,50.00600000000001    ,49.995666666666665   ,0                 ,57.5                  ,C
UBER      ,Industrials           ,United States and Canada   ,100.0               ,49.9795              ,52.351666666666674   ,0                 ,58.0                  ,C
GEV       ,Industrials           ,United States and Canada   ,100.0               ,50.041999999999994   ,49.786               ,0                 ,57.5                  ,C
TJX       ,Consumer Discretionary,United States and Canada   ,100.0               ,50.002500000000005   ,50.06166666666666    ,0                 ,57.5                  ,C
SBTX      ,Health Care           ,Europe                     ,33.33333333333333   ,50.0035              ,50.012666666666675   ,0                 ,34.2                  ,F
TXN       ,Information Technology,United States and Canada   ,100.0               ,49.99550000000001    ,49.96666666666666    ,0                 ,57.5                  ,C
QCOM      ,Information Technology,United States and Canada   ,33.33333333333333   ,49.990500000000004   ,49.992333333333335   ,0                 ,34.2                  ,F
NEE       ,Utilities             ,United States and Canada   ,100.0               ,50.019999999999996   ,50.01066666666667    ,0                 ,57.5                  ,C
DHR       ,Health Care           ,United States and Canada   ,100.0               ,50.01800000000001    ,49.986               ,0                 ,57.5                  ,C
T         ,Communication Services,United States and Canada   ,100.0               ,50.013               ,50.01766666666667    ,0                 ,57.5                  ,C
BKNG      ,Consumer Discretionary,United States and Canada   ,100.0               ,50.0                 ,50.08233333333333    ,0                 ,57.5                  ,C
VZ        ,Communication Services,United States and Canada   ,100.0               ,49.99550000000001    ,49.998               ,0                 ,57.5                  ,C
ANET      ,Information Technology,United States and Canada   ,100.0               ,50.002               ,50.081999999999994   ,0                 ,57.5                  ,C
LOW       ,Consumer Discretionary,United States and Canada   ,100.0               ,49.998               ,49.99266666666667    ,0                 ,57.5                  ,C
INTU      ,Information Technology,United States and Canada   ,100.0               ,50.0015              ,50.00533333333333    ,0                 ,57.5                  ,C
PDD       ,Consumer Discretionary,Europe                     ,100.0               ,50.068               ,50.37466666666667    ,0                 ,57.6                  ,C
GILD      ,Health Care           ,United States and Canada   ,100.0               ,49.989999999999995   ,50.03333333333333    ,0                 ,57.5                  ,C
SCCO      ,Materials             ,United States and Canada   ,100.0               ,50.068               ,50.224000000000004   ,0                 ,57.6                  ,C
ADI       ,Information Technology,United States and Canada   ,33.33333333333333   ,50.022               ,50.18                ,0                 ,34.2                  ,F
PFE       ,Health Care           ,United States and Canada   ,0.0                 ,49.987               ,50.068999999999996   ,100               ,42.5                  ,D
DE        ,Industrials           ,United States and Canada   ,33.33333333333333   ,50.00899999999999    ,49.35                ,100               ,54.0                  ,C
SYK       ,Health Care           ,United States and Canada   ,100.0               ,50.0005              ,50.01466666666666    ,0                 ,57.5                  ,C
UNP       ,Industrials           ,United States and Canada   ,100.0               ,49.998               ,50.004000000000005   ,0                 ,57.5                  ,C
HON       ,Industrials           ,United States and Canada   ,100.0               ,49.791999999999994   ,49.88266666666667    ,100               ,77.4                  ,B
NOW       ,Information Technology,United States and Canada   ,100.0               ,50.012               ,50.10033333333334    ,0                 ,57.5                  ,C
LMT       ,Industrials           ,United States and Canada   ,100.0               ,49.958999999999996   ,50.014               ,0                 ,57.5                  ,C
BSX       ,Health Care           ,United States and Canada   ,100.0               ,50.002500000000005   ,50.05866666666666    ,0                 ,57.5                  ,C
PANW      ,Information Technology,United States and Canada   ,100.0               ,49.996               ,50.035333333333334   ,0                 ,57.5                  ,C
ETN       ,Industrials           ,Europe                     ,100.0               ,49.9895              ,49.994               ,0                 ,57.5                  ,C
ADBE      ,Information Technology,United States and Canada   ,33.33333333333333   ,49.995               ,50.01766666666667    ,0                 ,34.2                  ,F
MDT       ,Health Care           ,Europe                     ,100.0               ,50.001               ,50.01766666666667    ,0                 ,57.5                  ,C
NEM       ,Materials             ,United States and Canada   ,100.0               ,50.053000000000004   ,50.33866666666667    ,0                 ,57.6                  ,C
CEG       ,Utilities             ,United States and Canada   ,100.0               ,50.017500000000005   ,49.94766666666666    ,0                 ,57.5                  ,C
COP       ,Energy                ,United States and Canada   ,100.0               ,49.927               ,49.97933333333334    ,100               ,77.5                  ,B
PH        ,Industrials           ,United States and Canada   ,100.0               ,50.00549999999999    ,50.139               ,0                 ,57.5                  ,C
BMY       ,Health Care           ,United States and Canada   ,0.0                 ,49.9305              ,50.00766666666666    ,100               ,42.5                  ,D
CRWD      ,Information Technology,United States and Canada   ,100.0               ,50.001               ,50.035666666666664   ,0                 ,57.5                  ,C
ARM       ,Information Technology,Europe                     ,100.0               ,50.001               ,50.056               ,0                 ,57.5                  ,C
VRTX      ,Health Care           ,United States and Canada   ,100.0               ,49.9945              ,50.089666666666666   ,0                 ,57.5                  ,C
TUN       ,Materials             ,Europe                     ,50.0                ,50.0                 ,50.0                 ,0                 ,40.0                  ,D
CTX       ,Health Care           ,Europe                     ,0.0                 ,50.0                 ,50.0                 ,0                 ,22.5                  ,F
HCA       ,Health Care           ,United States and Canada   ,100.0               ,50.0                 ,50.17133333333334    ,0                 ,57.5                  ,C
AMCI      ,Industrials           ,Africa / Middle East       ,33.33333333333333   ,50.0                 ,50.0                 ,0                 ,34.2                  ,F
MELI      ,Consumer Discretionary,Latin America and Caribbean,100.0               ,49.97                ,49.715333333333334   ,0                 ,57.4                  ,C
SBUX      ,Consumer Discretionary,United States and Canada   ,33.33333333333333   ,49.95                ,49.654               ,0                 ,34.1                  ,F
ADP       ,Industrials           ,United States and Canada   ,100.0               ,49.998               ,49.997               ,0                 ,57.5                  ,C
SPOT      ,Communication Services,Europe                     ,100.0               ,49.957499999999996   ,50.91066666666666    ,0                 ,57.7                  ,C
MCK       ,Health Care           ,United States and Canada   ,100.0               ,50.0                 ,50.029               ,0                 ,57.5                  ,C
MO        ,Consumer Staples      ,United States and Canada   ,0.0                 ,50.0                 ,49.99633333333334    ,100               ,42.5                  ,D
CMCSA     ,Communication Services,United States and Canada   ,0.0                 ,49.9935              ,49.95333333333333    ,0                 ,22.5                  ,F
CVS       ,Health Care           ,United States and Canada   ,100.0               ,50.001               ,50.14999999999999    ,0                 ,57.5                  ,C
ENB       ,Energy                ,United States and Canada   ,100.0               ,49.977               ,49.94466666666666    ,100               ,77.5                  ,B
CVNA      ,Consumer Discretionary,United States and Canada   ,100.0               ,50.048               ,50.07866666666667    ,0                 ,57.5                  ,C
AEM       ,Materials             ,United States and Canada   ,100.0               ,50.065000000000005   ,50.27333333333333    ,0                 ,57.6                  ,C
GD        ,Industrials           ,United States and Canada   ,100.0               ,50.001               ,50.03300000000001    ,0                 ,57.5                  ,C
SO        ,Utilities             ,United States and Canada   ,100.0               ,50.0005              ,50.01599999999999    ,0                 ,57.5                  ,C
SNPS      ,Information Technology,United States and Canada   ,33.33333333333333   ,49.999               ,50.07033333333334    ,0                 ,34.2                  ,F
NKE       ,Consumer Discretionary,United States and Canada   ,100.0               ,49.69                ,49.79966666666667    ,0                 ,57.4                  ,C
NOC       ,Industrials           ,United States and Canada   ,0.0                 ,50.002500000000005   ,50.09                ,0                 ,22.5                  ,F
DUK       ,Utilities             ,United States and Canada   ,100.0               ,50.001               ,49.991               ,0                 ,57.5                  ,C
UPS       ,Industrials           ,United States and Canada   ,0.0                 ,50.017500000000005   ,50.21566666666667    ,100               ,42.5                  ,D
MMM       ,Industrials           ,United States and Canada   ,100.0               ,49.992000000000004   ,50.048               ,0                 ,57.5                  ,C
DASH      ,Consumer Discretionary,United States and Canada   ,100.0               ,50.0225              ,49.74966666666666    ,0                 ,57.5                  ,C
ORKA      ,Health Care           ,United States and Canada   ,50.0                ,50.0                 ,50.0                 ,0                 ,40.0                  ,D
HWM       ,Industrials           ,United States and Canada   ,100.0               ,50.0015              ,50.06333333333334    ,0                 ,57.5                  ,C
WM        ,Industrials           ,United States and Canada   ,100.0               ,50.005               ,49.974999999999994   ,0                 ,57.5                  ,C
SHW       ,Materials             ,United States and Canada   ,100.0               ,49.997499999999995   ,50.015               ,0                 ,57.5                  ,C
MAR       ,Consumer Discretionary,United States and Canada   ,100.0               ,49.999               ,50.02266666666667    ,0                 ,57.5                  ,C
CDNS      ,Information Technology,United States and Canada   ,100.0               ,50.001               ,50.056999999999995   ,0                 ,57.5                  ,C
FCX       ,Materials             ,United States and Canada   ,100.0               ,50.1675              ,50.23633333333334    ,100               ,77.6                  ,B
TT        ,Industrials           ,Europe                     ,100.0               ,49.999               ,50.00666666666667    ,0                 ,57.5                  ,C
ELV       ,Health Care           ,United States and Canada   ,100.0               ,49.9985              ,50.00933333333334    ,0                 ,57.5                  ,C
ABX       ,Materials             ,United States and Canada   ,100.0               ,50.0255              ,50.196               ,0                 ,57.5                  ,C
EMR       ,Industrials           ,United States and Canada   ,33.33333333333333   ,50.006499999999996   ,49.967999999999996   ,0                 ,34.2                  ,F
CRH       ,Materials             ,Europe                     ,100.0               ,50.019499999999994   ,49.98733333333333    ,0                 ,57.5                  ,C
TDG       ,Industrials           ,United States and Canada   ,33.33333333333333   ,50.0105              ,49.82                ,0                 ,34.1                  ,F
ABNB      ,Consumer Discretionary,United States and Canada   ,100.0               ,49.996               ,49.91566666666667    ,0                 ,57.5                  ,C
GLW       ,Information Technology,United States and Canada   ,100.0               ,50.0035              ,50.04766666666667    ,0                 ,57.5                  ,C
CMI       ,Industrials           ,United States and Canada   ,0.0                 ,50.0225              ,50.144               ,0                 ,22.5                  ,F
DELL      ,Information Technology,United States and Canada   ,100.0               ,49.997499999999995   ,50.135333333333335   ,0                 ,57.5                  ,C
ORLY      ,Consumer Discretionary,United States and Canada   ,100.0               ,49.999               ,50.032333333333334   ,0                 ,57.5                  ,C
ECL       ,Materials             ,United States and Canada   ,100.0               ,50.0                 ,49.99766666666667    ,0                 ,57.5                  ,C
CTAS      ,Industrials           ,United States and Canada   ,100.0               ,50.0375              ,50.024               ,0                 ,57.5                  ,C
REGN      ,Health Care           ,United States and Canada   ,87.08163169506557   ,49.992999999999995   ,50.28866666666667    ,0                 ,53.0                  ,C
MNST      ,Consumer Staples      ,United States and Canada   ,100.0               ,50.007000000000005   ,50.153666666666666   ,0                 ,57.5                  ,C
ITW       ,Industrials           ,United States and Canada   ,17.608084874407684  ,49.999500000000005   ,50.01466666666666    ,0                 ,28.7                  ,F
WDC       ,Information Technology,United States and Canada   ,100.0               ,50.037               ,50.549               ,0                 ,57.6                  ,C
GM        ,Consumer Discretionary,United States and Canada   ,32.710918577479966  ,50.01800000000001    ,50.309000000000005   ,100               ,54.0                  ,C
RCL       ,Consumer Discretionary,United States and Canada   ,100.0               ,50.0035              ,49.992999999999995   ,0                 ,57.5                  ,C
CI        ,Health Care           ,United States and Canada   ,100.0               ,50.00449999999999    ,49.997               ,0                 ,57.5                  ,C
MDLZ      ,Consumer Staples      ,United States and Canada   ,100.0               ,49.9985              ,49.862               ,0                 ,57.5                  ,C
FDX       ,Industrials           ,United States and Canada   ,100.0               ,50.080000000000005   ,50.06633333333333    ,0                 ,57.5                  ,C
WMB       ,Energy                ,United States and Canada   ,100.0               ,49.9795              ,49.972               ,0                 ,57.5                  ,C
SE        ,Consumer Discretionary,Asia / Pacific             ,100.0               ,49.9855              ,49.663333333333334   ,0                 ,57.4                  ,C
TEL       ,Information Technology,Europe                     ,33.33333333333333   ,50.03999999999999    ,50.36366666666666    ,0                 ,34.2                  ,F
CNQ       ,Energy                ,United States and Canada   ,100.0               ,49.8155              ,49.81333333333334    ,100               ,77.4                  ,B
SNOW      ,Information Technology,United States and Canada   ,100.0               ,49.9985              ,50.071               ,0                 ,57.5                  ,C
WBD       ,Communication Services,United States and Canada   ,0.0                 ,50.035               ,50.022               ,100               ,42.5                  ,D
EPD       ,Energy                ,United States and Canada   ,0.0                 ,49.98649999999999    ,49.940666666666665   ,100               ,42.5                  ,D
HLT       ,Consumer Discretionary,United States and Canada   ,100.0               ,50.002               ,50.025333333333336   ,0                 ,57.5                  ,C
STX       ,Information Technology,Asia / Pacific             ,100.0               ,50.099000000000004   ,50.293               ,0                 ,57.6                  ,C
SLB       ,Energy                ,United States and Canada   ,0.0                 ,49.997499999999995   ,50.03666666666666    ,0                 ,22.5                  ,F
JCI       ,Industrials           ,Europe                     ,33.33333333333333   ,50.017               ,50.16033333333333    ,0                 ,34.2                  ,F
COR       ,Health Care           ,United States and Canada   ,33.33333333333333   ,49.982499999999995   ,50.025               ,0                 ,34.2                  ,F
MRVL      ,Information Technology,United States and Canada   ,100.0               ,50.003               ,50.03333333333333    ,0                 ,57.5                  ,C
CL        ,Consumer Staples      ,United States and Canada   ,30.016748752135047  ,49.9985              ,49.998               ,0                 ,33.0                  ,F
CSX       ,Industrials           ,United States and Canada   ,0.0                 ,49.955               ,49.98166666666667    ,0                 ,22.5                  ,F
PWR       ,Industrials           ,United States and Canada   ,100.0               ,50.0                 ,50.00266666666666    ,0                 ,57.5                  ,C
VRT       ,Industrials           ,United States and Canada   ,100.0               ,50.004000000000005   ,50.25999999999999    ,0                 ,57.6                  ,C
MSI       ,Information Technology,United States and Canada   ,100.0               ,50.0                 ,50.041999999999994   ,0                 ,57.5                  ,C
RSG       ,Industrials           ,United States and Canada   ,100.0               ,50.004000000000005   ,50.01966666666667    ,0                 ,57.5                  ,C
NSC       ,Industrials           ,United States and Canada   ,100.0               ,49.95                ,49.901666666666664   ,0                 ,57.5                  ,C
CP        ,Industrials           ,United States and Canada   ,100.0               ,49.952               ,50.022               ,0                 ,57.5                  ,C
NET       ,Information Technology,United States and Canada   ,100.0               ,50.003               ,50.214666666666666   ,0                 ,57.5                  ,C
PCAR      ,Industrials           ,United States and Canada   ,0.0                 ,50.002               ,49.916333333333334   ,100               ,42.5                  ,D
AEP       ,Utilities             ,United States and Canada   ,100.0               ,50.0                 ,50.012               ,0                 ,57.5                  ,C
LHX       ,Industrials           ,United States and Canada   ,100.0               ,49.998               ,50.035333333333334   ,0                 ,57.5                  ,C
ROST      ,Consumer Discretionary,United States and Canada   ,100.0               ,50.00899999999999    ,50.13966666666667    ,0                 ,57.5                  ,C
WPM       ,Materials             ,United States and Canada   ,100.0               ,49.95                ,50.18733333333334    ,0                 ,57.5                  ,C
CNR       ,Industrials           ,United States and Canada   ,100.0               ,49.9605              ,50.06699999999999    ,0                 ,57.5                  ,C
VST       ,Utilities             ,United States and Canada   ,1.4011456881870274  ,49.635               ,49.75233333333334    ,0                 ,22.8                  ,F
KMI       ,Energy                ,United States and Canada   ,100.0               ,49.999500000000005   ,50.001666666666665   ,0                 ,57.5                  ,C
NXPI      ,Information Technology,Europe                     ,0.0                 ,49.9925              ,49.995999999999995   ,0                 ,22.5                  ,F
SNDK      ,Information Technology,United States and Canada   ,100.0               ,50.185               ,53.49133333333334    ,0                 ,58.2                  ,C
688729    ,Information Technology,Asia / Pacific             ,100.0               ,50.063               ,50.231               ,0                 ,57.6                  ,C
ET        ,Energy                ,United States and Canada   ,0.0                 ,49.94500000000001    ,49.904333333333334   ,0                 ,22.5                  ,F
SRE       ,Utilities             ,United States and Canada   ,100.0               ,50.0615              ,50.064               ,0                 ,57.5                  ,C
MDLN      ,Health Care           ,United States and Canada   ,100.0               ,50.0                 ,50.0                 ,0                 ,57.5                  ,C
RBLX      ,Communication Services,United States and Canada   ,100.0               ,50.0                 ,50.0                 ,0                 ,57.5                  ,C
BDX       ,Health Care           ,United States and Canada   ,33.33333333333333   ,50.001               ,50.01066666666667    ,0                 ,34.2                  ,F
APD       ,Materials             ,United States and Canada   ,33.33333333333333   ,49.974999999999994   ,50.00333333333333    ,0                 ,34.2                  ,F
SU        ,Energy                ,United States and Canada   ,100.0               ,49.861000000000004   ,50.25233333333333    ,100               ,77.5                  ,B
URI       ,Industrials           ,United States and Canada   ,100.0               ,49.9945              ,49.93066666666667    ,0                 ,57.5                  ,C
EOG       ,Energy                ,United States and Canada   ,0.0                 ,49.980000000000004   ,50.056               ,100               ,42.5                  ,D
AZO       ,Consumer Discretionary,United States and Canada   ,100.0               ,49.987               ,49.821000000000005   ,0                 ,57.5                  ,C
MPLX      ,Energy                ,United States and Canada   ,100.0               ,49.996               ,50.17466666666667    ,0                 ,57.5                  ,C
IDXX      ,Health Care           ,United States and Canada   ,100.0               ,50.0                 ,50.06166666666666    ,0                 ,57.5                  ,C
FTNT      ,Information Technology,United States and Canada   ,100.0               ,50.0                 ,50.22766666666667    ,0                 ,57.5                  ,C
PSX       ,Energy                ,United States and Canada   ,0.0                 ,49.83                ,50.531666666666666   ,100               ,42.6                  ,D
VLO       ,Energy                ,United States and Canada   ,0.0                 ,49.901999999999994   ,50.589000000000006   ,100               ,42.6                  ,D
TRI       ,Industrials           ,United States and Canada   ,100.0               ,49.98350000000001    ,50.03833333333333    ,0                 ,57.5                  ,C
ADSK      ,Information Technology,United States and Canada   ,100.0               ,50.0015              ,50.098               ,0                 ,57.5                  ,C
ZTS       ,Health Care           ,United States and Canada   ,100.0               ,50.0                 ,49.99433333333334    ,0                 ,57.5                  ,C
F         ,Consumer Discretionary,United States and Canada   ,100.0               ,50.32449999999999    ,49.885999999999996   ,100               ,77.6                  ,B
TRP       ,Energy                ,United States and Canada   ,100.0               ,49.951               ,49.93566666666667    ,0                 ,57.5                  ,C
MPC       ,Energy                ,United States and Canada   ,0.0                 ,49.726499999999994   ,50.119               ,100               ,42.5                  ,D
CMG       ,Consumer Discretionary,United States and Canada   ,100.0               ,49.999               ,49.87333333333333    ,0                 ,57.5                  ,C
MSTR      ,Information Technology,United States and Canada   ,100.0               ,50.0                 ,50.0                 ,0                 ,57.5                  ,C
L         ,Consumer Staples      ,United States and Canada   ,100.0               ,49.95250000000001    ,50.053000000000004   ,0                 ,57.5                  ,C
D         ,Utilities             ,United States and Canada   ,100.0               ,50.001               ,50.017               ,0                 ,57.5                  ,C
BIDU      ,Communication Services,Asia / Pacific             ,100.0               ,50.058               ,50.06633333333333    ,0                 ,57.5                  ,C
BKR       ,Energy                ,United States and Canada   ,0.0                 ,49.974               ,50.062               ,100               ,42.5                  ,D
EA        ,Communication Services,United States and Canada   ,0.0                 ,50.0                 ,50.096333333333334   ,0                 ,22.5                  ,F
CAH       ,Health Care           ,United States and Canada   ,100.0               ,50.046               ,50.178999999999995   ,0                 ,57.5                  ,C
WDAY      ,Information Technology,United States and Canada   ,100.0               ,50.0                 ,50.074               ,0                 ,57.5                  ,C
AXON      ,Industrials           ,United States and Canada   ,100.0               ,50.0                 ,49.776666666666664   ,0                 ,57.5                  ,C
GWW       ,Industrials           ,United States and Canada   ,100.0               ,50.002500000000005   ,50.004000000000005   ,0                 ,57.5                  ,C
TGT       ,Consumer Staples      ,United States and Canada   ,0.0                 ,49.98350000000001    ,49.97866666666667    ,0                 ,22.5                  ,F
FAST      ,Industrials           ,United States and Canada   ,100.0               ,49.9985              ,50.01433333333334    ,0                 ,57.5                  ,C
AU        ,Materials             ,United States and Canada   ,100.0               ,50.078               ,50.048333333333325   ,0                 ,57.5                  ,C
AME       ,Industrials           ,United States and Canada   ,100.0               ,50.007999999999996   ,50.086333333333336   ,0                 ,57.5                  ,C
CCO       ,Energy                ,United States and Canada   ,100.0               ,49.977               ,49.705666666666666   ,0                 ,57.4                  ,C
EW        ,Health Care           ,United States and Canada   ,100.0               ,50.0                 ,50.099666666666664   ,0                 ,57.5                  ,C
FERG      ,Industrials           ,United States and Canada   ,100.0               ,49.9595              ,50.059333333333335   ,0                 ,57.5                  ,C
ATD       ,Consumer Staples      ,United States and Canada   ,0.0                 ,49.997499999999995   ,50.050000000000004   ,0                 ,22.5                  ,F
RKLB      ,Industrials           ,United States and Canada   ,100.0               ,50.0                 ,50.0                 ,0                 ,57.5                  ,C
MPWR      ,Information Technology,United States and Canada   ,100.0               ,50.0                 ,50.03266666666667    ,0                 ,57.5                  ,C
IMO       ,Energy                ,United States and Canada   ,0.0                 ,49.966               ,49.87866666666667    ,100               ,42.5                  ,D
CTVA      ,Materials             ,United States and Canada   ,100.0               ,50.0                 ,50.20566666666667    ,0                 ,57.5                  ,C
ALNY      ,Health Care           ,United States and Canada   ,100.0               ,49.843               ,50.59566666666666    ,0                 ,57.6                  ,C
ROK       ,Industrials           ,United States and Canada   ,33.33333333333333   ,50.01649999999999    ,50.144333333333336   ,0                 ,34.2                  ,F
CRWV      ,Information Technology,United States and Canada   ,100.0               ,50.0                 ,50.0                 ,0                 ,57.5                  ,C
RIVN      ,Consumer Discretionary,United States and Canada   ,100.0               ,50.0                 ,50.0                 ,0                 ,57.5                  ,C
DHI       ,Consumer Discretionary,United States and Canada   ,33.33333333333333   ,49.942               ,49.724333333333334   ,0                 ,34.1                  ,F
PLNW      ,Information Technology,Europe                     ,100.0               ,49.928               ,50.00833333333333    ,0                 ,57.5                  ,C
Q         ,Information Technology,United States and Canada   ,100.0               ,50.012               ,50.0                 ,0                 ,57.5                  ,C
CARR      ,Industrials           ,United States and Canada   ,0.0                 ,49.9645              ,49.826               ,0                 ,22.5                  ,F
FNV       ,Materials             ,United States and Canada   ,100.0               ,50.029999999999994   ,50.14333333333333    ,0                 ,57.5                  ,C
DAL       ,Industrials           ,United States and Canada   ,33.33333333333333   ,50.0235              ,49.97266666666667    ,0                 ,34.2                  ,F
OKE       ,Energy                ,United States and Canada   ,100.0               ,49.997499999999995   ,50.01166666666666    ,0                 ,57.5                  ,C
TTWO      ,Communication Services,United States and Canada   ,100.0               ,50.006499999999996   ,50.443666666666665   ,0                 ,57.6                  ,C
YUM       ,Consumer Discretionary,United States and Canada   ,100.0               ,50.0015              ,50.03300000000001    ,0                 ,57.5                  ,C
EXC       ,Utilities             ,United States and Canada   ,100.0               ,50.002               ,50.00933333333334    ,0                 ,57.5                  ,C
